,NAME,POP,AGEGROUP,state,county
95,"Baldwin County, Georgia",4360,4,13,009
69,"Baldwin County, Georgia",2113,1,13,009
126,"Baldwin County, Georgia",2458,10,13,009
127,"Baldwin County, Georgia",2631,11,13,009
128,"Baldwin County, Georgia",2925,12,13,009
129,"Baldwin County, Georgia",2863,13,13,009
130,"Baldwin County, Georgia",2452,14,13,009
132,"Baldwin County, Georgia",2008,15,13,009
133,"Baldwin County, Georgia",1333,16,13,009
134,"Baldwin County, Georgia",863,17,13,009
70,"Baldwin County, Georgia",2278,2,13,009
135,"Baldwin County, Georgia",742,18,13,009
100,"Baldwin County, Georgia",2229,9,13,009
99,"Baldwin County, Georgia",2452,8,13,009
98,"Baldwin County, Georgia",2420,7,13,009
97,"Baldwin County, Georgia",2846,6,13,009
96,"Baldwin County, Georgia",5430,5,13,009
71,"Baldwin County, Georgia",2487,3,13,009
66,"Clayton County, Georgia",21815,1,13,063
94,"Clayton County, Georgia",19609,8,13,063
93,"Clayton County, Georgia",21696,7,13,063
92,"Clayton County, Georgia",24956,6,13,063
91,"Clayton County, Georgia",20279,5,13,063
67,"Clayton County, Georgia",22584,2,13,063
90,"Clayton County, Georgia",21294,4,13,063
89,"Clayton County, Georgia",23312,3,13,063
122,"Clayton County, Georgia",19144,10,13,063
167,"Clayton County, Georgia",1922,18,13,063
166,"Clayton County, Georgia",2509,17,13,063
165,"Clayton County, Georgia",4483,16,13,063
164,"Clayton County, Georgia",7776,15,13,063
163,"Clayton County, Georgia",11477,14,13,063
123,"Clayton County, Georgia",18393,11,13,063
124,"Clayton County, Georgia",17537,12,13,063
125,"Clayton County, Georgia",15245,13,13,063
121,"Clayton County, Georgia",18225,9,13,063
182,"Echols County, Georgia",68,18,13,101
152,"Echols County, Georgia",78,17,13,101
151,"Echols County, Georgia",77,16,13,101
150,"Echols County, Georgia",142,15,13,101
74,"Echols County, Georgia",354,2,13,101
148,"Echols County, Georgia",221,13,13,101
149,"Echols County, Georgia",188,14,13,101
101,"Echols County, Georgia",314,3,13,101
102,"Echols County, Georgia",271,4,13,101
103,"Echols County, Georgia",214,5,13,101
104,"Echols County, Georgia",250,6,13,101
105,"Echols County, Georgia",332,7,13,101
106,"Echols County, Georgia",252,8,13,101
107,"Echols County, Georgia",289,9,13,101
108,"Echols County, Georgia",268,10,13,101
109,"Echols County, Georgia",211,11,13,101
73,"Echols County, Georgia",210,1,13,101
110,"Echols County, Georgia",267,12,13,101
1,"Johnson County, Georgia",522,1,13,167
5,"Johnson County, Georgia",567,5,13,167
18,"Johnson County, Georgia",231,18,13,167
17,"Johnson County, Georgia",182,17,13,167
16,"Johnson County, Georgia",352,16,13,167
15,"Johnson County, Georgia",501,15,13,167
7,"Johnson County, Georgia",644,7,13,167
6,"Johnson County, Georgia",649,6,13,167
14,"Johnson County, Georgia",524,14,13,167
13,"Johnson County, Georgia",653,13,13,167
12,"Johnson County, Georgia",669,12,13,167
11,"Johnson County, Georgia",657,11,13,167
9,"Johnson County, Georgia",669,9,13,167
8,"Johnson County, Georgia",634,8,13,167
10,"Johnson County, Georgia",709,10,13,167
2,"Johnson County, Georgia",443,2,13,167
3,"Johnson County, Georgia",515,3,13,167
4,"Johnson County, Georgia",522,4,13,167
154,"Lowndes County, Georgia",3946,15,13,185
156,"Lowndes County, Georgia",1752,17,13,185
83,"Lowndes County, Georgia",7247,8,13,185
82,"Lowndes County, Georgia",7999,7,13,185
81,"Lowndes County, Georgia",9783,6,13,185
157,"Lowndes County, Georgia",1551,18,13,185
115,"Lowndes County, Georgia",5691,13,13,185
114,"Lowndes County, Georgia",6360,12,13,185
113,"Lowndes County, Georgia",5833,11,13,185
112,"Lowndes County, Georgia",6041,10,13,185
111,"Lowndes County, Georgia",6114,9,13,185
80,"Lowndes County, Georgia",14158,5,13,185
79,"Lowndes County, Georgia",9338,4,13,185
78,"Lowndes County, Georgia",7997,3,13,185
77,"Lowndes County, Georgia",8037,2,13,185
76,"Lowndes County, Georgia",8014,1,13,185
153,"Lowndes County, Georgia",4866,14,13,185
155,"Lowndes County, Georgia",2679,16,13,185
34,"Montgomery County, Georgia",520,2,13,209
33,"Montgomery County, Georgia",483,1,13,209
35,"Montgomery County, Georgia",511,3,13,209
38,"Montgomery County, Georgia",602,6,13,209
37,"Montgomery County, Georgia",763,5,13,209
50,"Montgomery County, Georgia",118,18,13,209
49,"Montgomery County, Georgia",233,17,13,209
48,"Montgomery County, Georgia",283,16,13,209
